k,empirical_prob,fitted_prob,log_density_residual,pointwise_kl_contribution_q_log_q_over_p,count_over_lambda,poisson_deviance_D_k_lambda,normalized_poisson_deviance,sr_x,kl_generator_on_sr_x
45,3.0312259486333994e-07,7.1524972657766198e-13,12.957016135498145,3.927564352678363e-06,3.6000000000000001,25.142023045792889,2.0113618436634311,0.81939093345960212,0.017391326325536527
46,1.3179243254928353e-07,1.9436133874393717e-13,13.427019764743882,1.7695795966829049e-06,3.6800000000000002,26.433986600318626,2.1147189280254901,0.82371274832722186,0.016541824381823944
47,5.6081886191182214e-08,5.1691845410620088e-14,13.897023393989606,7.7937128437792188e-07,3.7599999999999998,27.747690997884746,2.2198152798307795,0.82794357082474834,0.015732173319112919
48,2.3367452579660286e-08,1.346141807568268e-14,14.367027023235355,3.3572082267615004e-07,3.8399999999999999,29.082673596782513,2.3266138877426012,0.83208715362222108,0.014960173673149169
49,9.5377357468001429e-09,3.4340352233884871e-15,14.837030652481079,1.4151167763053823e-07,3.9199999999999999,30.438491036316179,2.4350792829052943,0.83614702192320411,0.014223784689967101
50,3.8150942987199992e-09,8.5850880584711862e-16,15.307034281726803,5.8397779218527509e-08,4,31.814718055994533,2.5451774444795627,0.84012649148500007,0.013521110102920453
51,1.4961154112627326e-09,2.1041882496252377e-16,15.777037910972556,2.3604269562682429e-08,4.0800000000000001,33.210946409219588,2.6568757127375671,0.84402868488898264,0.012850385428471611
52,5.7542900433181794e-10,5.0581448308299361e-17,16.24704154021828,9.3490189368254912e-09,4.1600000000000001,34.626783862204945,2.7701427089763957,0.84785654626107732,0.012209966593214716
53,2.1714302050256909e-10,1.1929586865164537e-17,16.717045169464033,3.6299896819753019e-09,4.2400000000000002,36.06185326992491,2.8849482615939928,0.85161285461624447,0.011598319730794837
54,8.0423340926877248e-11,2.7614784410103339e-18,17.187048798709757,1.3822398850655108e-09,4.3200000000000003,37.515791721825025,3.0012633377460021,0.85530023597848159,0.011014012009502805
55,2.9244851246137443e-11,6.2760873659325268e-19,17.657052427955509,5.1637787170080882e-10,4.4000000000000004,38.988249750831855,3.1190599800665484,0.85892117440874716,0.010455703370073177
56,1.0444589730763437e-11,1.4009123584671066e-19,18.127056057201234,1.8932966354401715e-10,4.4800000000000004,40.478890599906052,3.2383112479924843,0.86247802205680202,0.009922139069149738
57,3.6647683265837146e-12,3.0721762247086463e-20,18.597059686446958,6.8153915306477677e-11,4.5599999999999996,41.987389540998791,3.3589911632799034,0.86597300833884061,0.0094121429374725007
58,1.2637132160633191e-12,6.6210694498030306e-21,19.067063315692682,2.4095299903556932e-11,4.6399999999999997,43.513433241813502,3.4810746593450803,0.86940824833058694,0.0089246112734705507
59,4.2837736137741461e-13,1.4027689512294918e-21,19.537066944938434,8.3692371869266334e-12,4.7199999999999998,45.056719176250368,3.6045375341000296,0.87278575045498663,0.0084585073029073143
60,1.4279245379246374e-13,2.922435315061232e-22,20.007070574184187,2.8568587004867563e-12,4.7999999999999998,46.616955074830713,3.729356405986457,0.87610742353446069,0.0080128561438062018
61,4.6817197964742388e-14,5.9885969570927796e-23,20.477074203429911,9.5867923672069779e-13,4.8799999999999999,48.193858411768403,3.8555086729414723,0.87937508326972624,0.0075867402232731029
