transition_fraction,sigmoid_width,tail_slope_b2,tail_head_slope_contrast,transition_k,single_zm_c,theta_deg,angle_r2,winner_full,winner_top100,flip_lambda,source_model
0.45,1.1,1.8,1.1999999999798099,63.78113270551673,4.178976616094203,-30.627068227899763,0.15102374406541852,exp,xpow,0.2,legacy_coupled_logistic
0.45,1.1,2.0,0.9999999999798099,63.78113270551673,8.636921767628621,126.71115544370429,0.2143944215095419,xpow,xpow,0.0,legacy_coupled_logistic
0.45,1.1,2.2,0.7999999999798098,63.78113270551673,14.887636945991346,128.08615905738404,0.3708723864537773,xpow,xpow,0.0,legacy_coupled_logistic
0.45,1.1,2.4,0.59999999997981,63.78113270551673,19.54605701394879,131.30580130119102,0.3828703517793033,xpow,xpow,0.0,legacy_coupled_logistic
0.45,1.1,2.6,0.39999999997980984,63.78113270551673,25.662121274082253,131.73853701668853,0.40635893089142405,xpow,xpow,0.0,legacy_coupled_logistic
0.45,1.4,1.6,1.3999999999798098,63.78113270551673,9.457364254969171,25.77554069600925,0.8011476866233473,exp,xpow,0.7000000000000001,legacy_coupled_logistic
0.45,1.4,1.8,1.1999999999798099,63.78113270551673,23.43588846323532,74.31352565202369,0.845472333056632,exp,xpow,0.6000000000000001,legacy_coupled_logistic
0.45,1.4,2.0,0.9999999999798099,63.78113270551673,36.89241415905801,80.62196733681927,0.8364245412921412,exp,xpow,0.5,legacy_coupled_logistic
0.45,1.4,2.2,0.7999999999798098,63.78113270551673,53.037323296343196,75.13360297734111,0.8417778806732479,exp,xpow,0.45,legacy_coupled_logistic
0.45,1.4,2.4,0.59999999997981,63.78113270551673,69.63298129705501,69.94462792981057,0.8455134509791399,exp,xpow,0.35000000000000003,legacy_coupled_logistic
0.45,1.4,2.6,0.39999999997980984,63.78113270551673,83.4905363202275,72.62310333490649,0.8371104964135395,exp,xpow,0.25,legacy_coupled_logistic
0.45,1.7,1.6,1.3999999999798098,63.78113270551673,30.769101485799318,29.446136827840714,0.9351635714167872,exp,xpow,0.75,legacy_coupled_logistic
0.45,1.7,1.8,1.1999999999798099,63.78113270551673,58.07546936479891,14.275489820997425,0.9425807576592384,exp,xpow,0.7000000000000001,legacy_coupled_logistic
0.45,1.7,2.0,0.9999999999798099,63.78113270551673,91.42150815613114,2.643501291744297,0.9530661851215381,exp,xpow,0.7000000000000001,legacy_coupled_logistic
0.45,1.7,2.2,0.7999999999798098,63.78113270551673,120.02777990915968,-0.7246842353293269,0.9559533262677071,exp,xpow,0.7000000000000001,legacy_coupled_logistic
