corpus,V,k,rmse,bic,w_gate,w_tail,s
Pride and Prejudice,6729,521.0007309586913,0.11220893698635408,-29358.60246938758,2.661181549977098,0.14233460031124326,74.1564308028709
War and Peace,17445,1000.0,0.12124764200704986,-73527.21438831485,1.9193031254847515,0.216776916840866,216.776916840866
Arabian Nights (Vol 1),13883,102.07847284895003,0.10594037079021493,-62245.46127862302,3.3121585946416467,1.390175085121018,141.90694968181262
Arabian Nights (Vol 1),13883,376.0603093086394,0.10719714698003661,-61918.01022737092,3.0272687067299584,0.3661909462639886,137.7098805180589
Aesop's Fables,4394,20.0,0.11271021660013644,-19108.14265926357,4.459661175592516,2.352635614413591,47.05271228827182
Aesop's Fables,4394,27.70836049762948,0.11209966843503148,-19155.87641853106,3.937682518506456,1.6950041733735692,46.96578668082132
Arabian Nights (Vol 1),13883,1000.0,0.16258618886673026,-50352.39890731603,7.934448322804964,0.764504527888187,764.504527888187
Aesop's Fables,4394,38.38766207332969,0.11152708230263382,-19200.87906612294,3.509464436536796,1.2192706668639282,46.80495033549582
Aesop's Fables,4394,53.18295896944989,0.11110623092189316,-19234.103620756607,3.2753692713096343,0.8759425738873157,46.58521796664344
Aesop's Fables,4394,73.68062997280774,0.11089662151169331,-19250.698434958478,3.1458570096415084,0.6283813766220251,46.29953569269097
Don Quixote,15574,1000.0,0.1453331914514452,-59989.08658640624,1.8161590095468634,1.5398143034420892,1539.8143034420893
Aesop's Fables,4394,195.92769603435266,0.10885779203730364,-19413.76908500576,0.7871889673954409,0.22436598464587695,43.959510440145614
Aesop's Fables,4394,209.23104367329384,0.10883608459590578,-19415.521683641855,0.7344153215569618,0.2091665568696612,43.76413699538858
Aesop's Fables,4394,271.4417616594907,0.10904265583170025,-19398.857840620396,0.5387278173817954,0.15782972849364144,42.84157954455314
King James Bible,12555,721.8038036465944,0.1157682575949132,-54056.35890307864,1.9513435722044197,0.21713341663006097,156.7277260223587
Pride and Prejudice,6729,376.0603093086394,0.10936723560285376,-29703.81751429039,2.804790747658874,0.20369459256033862,76.60145148273821
Aesop's Fables,4394,141.4213562373095,0.10957556298485811,-19356.014226184947,1.0449158591177234,0.31672542146990545,44.791738659107494
Aesop's Fables,4394,1000.0,0.14563491015545527,-16855.929372660947,0.7225163383936518,0.22639384925106987,226.39384925106987
Aesop's Fables,4394,721.8038036465944,0.15209588384821407,-16474.457564596763,1.1215272317161953,0.3732633596557051,269.4229127613947
Complete Sherlock Holmes,7817,20.0,0.11188511237070518,-34162.20348564346,4.889936147809072,4.419509196791595,88.3901839358319
Complete Sherlock Holmes,7817,27.70836049762948,0.11110151894280838,-34272.08227081545,4.23041329165639,3.184675433806707,88.2421349878608
Complete Sherlock Holmes,7817,38.38766207332969,0.11020037567202356,-34399.406546903934,3.518362051589628,2.290953868326833,87.94436292291792
Complete Sherlock Holmes,7817,53.18295896944989,0.10930137930205282,-34527.46919348134,3.050366739723667,1.6464054589998818,87.56071397306903
Aesop's Fables,4394,102.07847284895003,0.11091943576041527,-19248.89070633016,3.022862323957284,0.4497440790745547,45.90918876478797
Complete Sherlock Holmes,7817,102.07847284895003,0.10825131539616699,-34678.39195374895,2.9465047688281287,0.8494632058970075,86.71190679933973
Complete Sherlock Holmes,7817,147.95301378220583,0.1080901899127488,-34701.67954500356,2.9016249537955336,0.5816869077527999,86.06233107967869
Complete Works of Shakespeare,24458,721.8038036465944,0.11010027781678174,-107835.54491967053,2.4179694941352516,0.4167115821289853,300.78400500429177
Arabian Nights (Vol 1),13883,271.4417616594907,0.10658808380211823,-62076.21848048427,3.201553444777308,0.5134824221746382,139.38057325626613
Complete Sherlock Holmes,7817,271.4417616594907,0.10865185789495453,-34620.65108763692,2.734822165973993,0.3105167217518222,84.28720597704451
Aesop's Fables,4394,376.0603093086394,0.11007448961790545,-19316.090950592094,0.5142425091516847,0.10986817768743866,41.317060884314735
Complete Sherlock Holmes,7817,141.4213562373095,0.10809271347189968,-34701.31454552257,2.909177322939974,0.6091871822027669,86.15207750950027
Aesop's Fables,4394,521.0007309586913,0.11066755077670157,-19268.869913817893,0.7563578615986727,0.0743356427237616,38.728924195363916
Jane Eyre,12541,20.0,0.11897677593938942,-53310.30711138573,4.813787954626282,7.630660014629836,152.61320029259673
Complete Sherlock Holmes,7817,195.92769603435266,0.1081976879184595,-34686.138924081875,2.8390753704653533,0.43595851938316704,85.4163482692916
Jane Eyre,12541,27.70836049762948,0.11824141173666508,-53465.813434028074,4.3288795288708775,5.498092591856948,152.34313158451835
Jane Eyre,12541,38.38766207332969,0.1174536689213388,-53633.47275732045,3.8718718648740897,3.958716032311067,151.96585329262976
Jane Eyre,12541,53.18295896944989,0.11667285032486731,-53800.77174343431,3.5247325466320802,2.8486880970008923,151.50166217955876
Complete Works of Shakespeare,24458,271.4417616594907,0.1106275147374486,-107601.86007226282,3.0290766102056823,1.1399321578163961,309.4251930899871
Jane Eyre,12541,73.68062997280774,0.11598501864937262,-53949.07744591918,3.332617660301565,2.0490096875644577,150.97232460013518
Complete Sherlock Holmes,7817,1000.0,0.1142406268272528,-33836.4781149979,1.0962088073271687,0.07253180724333419,72.53180724333419
